t h envp envn
-4.00000 0.00036 0.00036 -0.00036
-3.98397 0.00038 0.00038 -0.00038
-3.96794 0.00040 0.00040 -0.00040
-3.95190 0.00041 0.00043 -0.00043
-3.93587 0.00042 0.00046 -0.00046
-3.91984 0.00043 0.00049 -0.00049
-3.90381 0.00043 0.00052 -0.00052
-3.88778 0.00042 0.00055 -0.00055
-3.87174 0.00041 0.00059 -0.00059
-3.85571 0.00039 0.00063 -0.00063
-3.83968 0.00036 0.00067 -0.00067
-3.82365 0.00032 0.00071 -0.00071
-3.80762 0.00027 0.00076 -0.00076
-3.79158 0.00021 0.00080 -0.00080
-3.77555 0.00014 0.00085 -0.00085
-3.75952 0.00005 0.00091 -0.00091
-3.74349 -0.00004 0.00096 -0.00096
-3.72745 -0.00014 0.00102 -0.00102
-3.71142 -0.00026 0.00108 -0.00108
-3.69539 -0.00039 0.00115 -0.00115
-3.67936 -0.00052 0.00122 -0.00122
-3.66333 -0.00067 0.00129 -0.00129
-3.64729 -0.00083 0.00137 -0.00137
-3.63126 -0.00099 0.00146 -0.00146
-3.61523 -0.00116 0.00154 -0.00154
-3.59920 -0.00133 0.00163 -0.00163
-3.58317 -0.00150 0.00173 -0.00173
-3.56713 -0.00167 0.00183 -0.00183
-3.55110 -0.00184 0.00194 -0.00194
-3.53507 -0.00200 0.00205 -0.00205
-3.51904 -0.00216 0.00217 -0.00217
-3.50301 -0.00230 0.00230 -0.00230
-3.48697 -0.00242 0.00243 -0.00243
-3.47094 -0.00253 0.00257 -0.00257
-3.45491 -0.00261 0.00272 -0.00272
-3.43888 -0.00266 0.00287 -0.00287
-3.42285 -0.00269 0.00303 -0.00303
-3.40681 -0.00267 0.00321 -0.00321
-3.39078 -0.00262 0.00339 -0.00339
-3.37475 -0.00252 0.00357 -0.00357
-3.35872 -0.00238 0.00377 -0.00377
-3.34269 -0.00219 0.00398 -0.00398
-3.32665 -0.00195 0.00420 -0.00420
-3.31062 -0.00165 0.00443 -0.00443
-3.29459 -0.00129 0.00467 -0.00467
-3.27856 -0.00088 0.00492 -0.00492
-3.26253 -0.00041 0.00519 -0.00519
-3.24649 0.00012 0.00546 -0.00546
-3.23046 0.00070 0.00576 -0.00576
-3.21443 0.00134 0.00606 -0.00606
-3.19840 0.00203 0.00638 -0.00638
-3.18236 0.00277 0.00672 -0.00672
-3.16633 0.00355 0.00707 -0.00707
-3.15030 0.00436 0.00743 -0.00743
-3.13427 0.00520 0.00782 -0.00782
-3.11824 0.00605 0.00822 -0.00822
-3.10220 0.00692 0.00864 -0.00864
-3.08617 0.00778 0.00908 -0.00908
-3.07014 0.00863 0.00954 -0.00954
-3.05411 0.00944 0.01002 -0.01002
-3.03808 0.01022 0.01052 -0.01052
-3.02204 0.01094 0.01104 -0.01104
-3.00601 0.01158 0.01159 -0.01159
-2.98998 0.01214 0.01216 -0.01216
-2.97395 0.01259 0.01276 -0.01276
-2.95792 0.01291 0.01338 -0.01338
-2.94188 0.01310 0.01402 -0.01402
-2.92585 0.01313 0.01470 -0.01470
-2.90982 0.01300 0.01540 -0.01540
-2.89379 0.01268 0.01614 -0.01614
-2.87776 0.01216 0.01690 -0.01690
-2.86172 0.01143 0.01770 -0.01770
-2.84569 0.01048 0.01853 -0.01853
-2.82966 0.00930 0.01939 -0.01939
-2.81363 0.00790 0.02029 -0.02029
-2.79760 0.00625 0.02122 -0.02122
-2.78156 0.00437 0.02219 -0.02219
-2.76553 0.00226 0.02320 -0.02320
-2.74950 -0.00008 0.02425 -0.02425
-2.73347 -0.00263 0.02534 -0.02534
-2.71743 -0.00538 0.02647 -0.02647
-2.70140 -0.00831 0.02764 -0.02764
-2.68537 -0.01140 0.02886 -0.02886
-2.66934 -0.01462 0.03013 -0.03013
-2.65331 -0.01795 0.03144 -0.03144
-2.63727 -0.02134 0.03280 -0.03280
-2.62124 -0.02476 0.03422 -0.03422
-2.60521 -0.02816 0.03568 -0.03568
-2.58918 -0.03151 0.03720 -0.03720
-2.57315 -0.03475 0.03877 -0.03877
-2.55711 -0.03782 0.04040 -0.04040
-2.54108 -0.04069 0.04208 -0.04208
-2.52505 -0.04328 0.04383 -0.04383
-2.50902 -0.04556 0.04563 -0.04563
-2.49299 -0.04745 0.04750 -0.04750
-2.47695 -0.04891 0.04943 -0.04943
-2.46092 -0.04988 0.05142 -0.05142
-2.44489 -0.05031 0.05349 -0.05349
-2.42886 -0.05015 0.05562 -0.05562
-2.41283 -0.04936 0.05782 -0.05782
-2.39679 -0.04789 0.06009 -0.06009
-2.38076 -0.04572 0.06244 -0.06244
-2.36473 -0.04281 0.06486 -0.06486
-2.34870 -0.03914 0.06735 -0.06735
-2.33267 -0.03471 0.06993 -0.06993
-2.31663 -0.02951 0.07258 -0.07258
-2.30060 -0.02355 0.07532 -0.07532
-2.28457 -0.01684 0.07814 -0.07814
-2.26854 -0.00942 0.08105 -0.08105
-2.25251 -0.00132 0.08404 -0.08404
-2.23647 0.00740 0.08712 -0.08712
