t im envp envn
-1.50000 -0.02651 0.02651 -0.02651
-1.49750 -0.02660 0.02660 -0.02660
-1.49500 -0.02670 0.02670 -0.02670
-1.49249 -0.02679 0.02679 -0.02679
-1.48999 -0.02689 0.02689 -0.02689
-1.48749 -0.02699 0.02699 -0.02699
-1.48499 -0.02708 0.02708 -0.02708
-1.48249 -0.02718 0.02718 -0.02718
-1.47998 -0.02728 0.02728 -0.02728
-1.47748 -0.02738 0.02738 -0.02738
-1.47498 -0.02748 0.02748 -0.02748
-1.47248 -0.02757 0.02757 -0.02757
-1.46997 -0.02767 0.02767 -0.02767
-1.46747 -0.02778 0.02778 -0.02778
-1.46497 -0.02788 0.02788 -0.02788
-1.46247 -0.02798 0.02798 -0.02798
-1.45997 -0.02808 0.02808 -0.02808
-1.45746 -0.02818 0.02818 -0.02818
-1.45496 -0.02829 0.02829 -0.02829
-1.45246 -0.02839 0.02839 -0.02839
-1.44996 -0.02849 0.02849 -0.02849
-1.44746 -0.02860 0.02860 -0.02860
-1.44495 -0.02871 0.02871 -0.02871
-1.44245 -0.02881 0.02881 -0.02881
-1.43995 -0.02892 0.02892 -0.02892
-1.43745 -0.02903 0.02903 -0.02903
-1.43495 -0.02913 0.02913 -0.02913
-1.43244 -0.02924 0.02924 -0.02924
-1.42994 -0.02935 0.02935 -0.02935
-1.42744 -0.02946 0.02946 -0.02946
-1.42494 -0.02957 0.02957 -0.02957
-1.42244 -0.02968 0.02968 -0.02968
-1.41993 -0.02980 0.02980 -0.02980
-1.41743 -0.02991 0.02991 -0.02991
-1.41493 -0.03002 0.03002 -0.03002
-1.41243 -0.03014 0.03014 -0.03014
-1.40992 -0.03025 0.03025 -0.03025
-1.40742 -0.03037 0.03037 -0.03037
-1.40492 -0.03048 0.03048 -0.03048
-1.40242 -0.03060 0.03060 -0.03060
-1.39992 -0.03072 0.03072 -0.03072
-1.39741 -0.03083 0.03083 -0.03083
-1.39491 -0.03095 0.03095 -0.03095
-1.39241 -0.03107 0.03107 -0.03107
-1.38991 -0.03119 0.03119 -0.03119
-1.38741 -0.03131 0.03131 -0.03131
-1.38490 -0.03143 0.03143 -0.03143
-1.38240 -0.03156 0.03156 -0.03156
-1.37990 -0.03168 0.03168 -0.03168
-1.37740 -0.03180 0.03180 -0.03180
-1.37490 -0.03193 0.03193 -0.03193
-1.37239 -0.03205 0.03205 -0.03205
-1.36989 -0.03218 0.03218 -0.03218
-1.36739 -0.03231 0.03231 -0.03231
-1.36489 -0.03243 0.03243 -0.03243
-1.36239 -0.03256 0.03256 -0.03256
-1.35988 -0.03269 0.03269 -0.03269
-1.35738 -0.03282 0.03282 -0.03282
-1.35488 -0.03295 0.03295 -0.03295
-1.35238 -0.03308 0.03308 -0.03308
-1.34987 -0.03322 0.03322 -0.03322
-1.34737 -0.03335 0.03335 -0.03335
-1.34487 -0.03348 0.03348 -0.03348
-1.34237 -0.03362 0.03362 -0.03362
-1.33987 -0.03375 0.03375 -0.03375
-1.33736 -0.03389 0.03389 -0.03389
-1.33486 -0.03403 0.03403 -0.03403
-1.33236 -0.03416 0.03416 -0.03416
-1.32986 -0.03430 0.03430 -0.03430
-1.32736 -0.03444 0.03444 -0.03444
-1.32485 -0.03458 0.03458 -0.03458
-1.32235 -0.03473 0.03473 -0.03473
-1.31985 -0.03487 0.03487 -0.03487
-1.31735 -0.03501 0.03501 -0.03501
-1.31485 -0.03516 0.03516 -0.03516
-1.31234 -0.03530 0.03530 -0.03530
-1.30984 -0.03545 0.03545 -0.03545
-1.30734 -0.03559 0.03559 -0.03559
-1.30484 -0.03574 0.03574 -0.03574
-1.30234 -0.03589 0.03589 -0.03589
-1.29983 -0.03604 0.03604 -0.03604
-1.29733 -0.03619 0.03619 -0.03619
-1.29483 -0.03634 0.03634 -0.03634
-1.29233 -0.03650 0.03650 -0.03650
-1.28982 -0.03665 0.03665 -0.03665
-1.28732 -0.03681 0.03681 -0.03681
-1.28482 -0.03696 0.03696 -0.03696
-1.28232 -0.03712 0.03712 -0.03712
-1.27982 -0.03728 0.03728 -0.03728
-1.27731 -0.03744 0.03744 -0.03744
-1.27481 -0.03760 0.03760 -0.03760
-1.27231 -0.03776 0.03776 -0.03776
-1.26981 -0.03792 0.03792 -0.03792
-1.26731 -0.03808 0.03808 -0.03808
-1.26480 -0.03825 0.03825 -0.03825
-1.26230 -0.03841 0.03841 -0.03841
-1.25980 -0.03858 0.03858 -0.03858
-1.25730 -0.03875 0.03875 -0.03875
-1.25480 -0.03892 0.03892 -0.03892
-1.25229 -0.03909 0.03909 -0.03909
-1.24979 -0.03926 0.03926 -0.03926
-1.24729 -0.03943 0.03943 -0.03943
-1.24479 -0.03960 0.03960 -0.03960
-1.24229 -0.03978 0.03978 -0.03978
-1.23978 -0.03995 0.03995 -0.03995
-1.23728 -0.04013 0.04013 -0.04013
-1.23478 -0.04031 0.04031 -0.04031
-1.23228 -0.04049 0.04049 -0.04049
-1.22977 -0.04067 0.04067 -0.04067
-1.22727 -0.04085 0.04085 -0.04085
-1.22477 -0.04103 0.04103 -0.04103
-1.22227 -0.04122 0.04122 -0.04122
-1.21977 -0.04141 0.04141 -0.04141
-1.21726 -0.04159 0.04159 -0.04159
-1.21476 -0.04178 0.04178 -0.04178
-1.21226 -0.04197 0.04197 -0.04197
-1.20976 -0.04216 0.04216 -0.04216
-1.20726 -0.04235 0.04235 -0.04235
-1.20475 -0.04255 0.04255 -0.04255
-1.20225 -0.04274 0.04274 -0.04274
-1.19975 -0.04294 0.04294 -0.04294
-1.19725 -0.04314 0.04314 -0.04314
-1.19475 -0.04334 0.04334 -0.04334
-1.19224 -0.04354 0.04354 -0.04354
-1.18974 -0.04374 0.04374 -0.04374
-1.18724 -0.04394 0.04394 -0.04394
-1.18474 -0.04415 0.04415 -0.04415
-1.18224 -0.04436 0.04436 -0.04436
-1.17973 -0.04456 0.04456 -0.04456
-1.17723 -0.04477 0.04477 -0.04477
-1.17473 -0.04499 0.04499 -0.04499
-1.17223 -0.04520 0.04520 -0.04520
-1.16972 -0.04541 0.04541 -0.04541
-1.16722 -0.04563 0.04563 -0.04563
-1.16472 -0.04585 0.04585 -0.04585
-1.16222 -0.04607 0.04607 -0.04607
-1.15972 -0.04629 0.04629 -0.04629
-1.15721 -0.04651 0.04651 -0.04651
-1.15471 -0.04673 0.04673 -0.04673
-1.15221 -0.04696 0.04696 -0.04696
-1.14971 -0.04719 0.04719 -0.04719
-1.14721 -0.04742 0.04742 -0.04742
-1.14470 -0.04765 0.04765 -0.04765
-1.14220 -0.04788 0.04788 -0.04788
-1.13970 -0.04812 0.04812 -0.04812
-1.13720 -0.04835 0.04835 -0.04835
-1.13470 -0.04859 0.04859 -0.04859
-1.13219 -0.04883 0.04883 -0.04883
-1.12969 -0.04907 0.04907 -0.04907
-1.12719 -0.04932 0.04932 -0.04932
-1.12469 -0.04956 0.04956 -0.04956
-1.12219 -0.04981 0.04981 -0.04981
-1.11968 -0.05006 0.05006 -0.05006
-1.11718 -0.05031 0.05031 -0.05031
-1.11468 -0.05056 0.05056 -0.05056
-1.11218 -0.05082 0.05082 -0.05082
-1.10967 -0.05108 0.05108 -0.05108
-1.10717 -0.05134 0.05134 -0.05134
-1.10467 -0.05160 0.05160 -0.05160
-1.10217 -0.05186 0.05186 -0.05186
-1.09967 -0.05213 0.05213 -0.05213
-1.09716 -0.05240 0.05240 -0.05240
-1.09466 -0.05267 0.05267 -0.05267
-1.09216 -0.05294 0.05294 -0.05294
-1.08966 -0.05321 0.05321 -0.05321
-1.08716 -0.05349 0.05349 -0.05349
-1.08465 -0.05377 0.05377 -0.05377
-1.08215 -0.05405 0.05405 -0.05405
-1.07965 -0.05433 0.05433 -0.05433
-1.07715 -0.05462 0.05462 -0.05462
-1.07465 -0.05491 0.05491 -0.05491
-1.07214 -0.05520 0.05520 -0.05520
-1.06964 -0.05549 0.05549 -0.05549
-1.06714 -0.05579 0.05579 -0.05579
-1.06464 -0.05609 0.05609 -0.05609
-1.06214 -0.05639 0.05639 -0.05639
-1.05963 -0.05669 0.05669 -0.05669
-1.05713 -0.05700 0.05700 -0.05700
-1.05463 -0.05730 0.05730 -0.05730
-1.05213 -0.05762 0.05762 -0.05762
-1.04962 -0.05793 0.05793 -0.05793
-1.04712 -0.05825 0.05825 -0.05825
-1.04462 -0.05856 0.05856 -0.05856
-1.04212 -0.05889 0.05889 -0.05889
-1.03962 -0.05921 0.05921 -0.05921
-1.03711 -0.05954 0.05954 -0.05954
-1.03461 -0.05987 0.05987 -0.05987
-1.03211 -0.06020 0.06020 -0.06020
-1.02961 -0.06054 0.06054 -0.06054
-1.02711 -0.06088 0.06088 -0.06088
-1.02460 -0.06122 0.06122 -0.06122
-1.02210 -0.06156 0.06156 -0.06156
-1.01960 -0.06191 0.06191 -0.06191
-1.01710 -0.06226 0.06226 -0.06226
-1.01460 -0.06262 0.06262 -0.06262
-1.01209 -0.06298 0.06298 -0.06298
-1.00959 -0.06334 0.06334 -0.06334
-1.00709 -0.06370 0.06370 -0.06370
-1.00459 -0.06407 0.06407 -0.06407
-1.00209 -0.06444 0.06444 -0.06444
-0.99958 -0.06481 0.06481 -0.06481
-0.99708 -0.06519 0.06519 -0.06519
-0.99458 -0.06557 0.06557 -0.06557
-0.99208 -0.06596 0.06596 -0.06596
-0.98957 -0.06635 0.06635 -0.06635
-0.98707 -0.06674 0.06674 -0.06674
-0.98457 -0.06713 0.06713 -0.06713
-0.98207 -0.06753 0.06753 -0.06753
-0.97957 -0.06794 0.06794 -0.06794
-0.97706 -0.06834 0.06834 -0.06834
-0.97456 -0.06875 0.06875 -0.06875
-0.97206 -0.06917 0.06917 -0.06917
-0.96956 -0.06959 0.06959 -0.06959
-0.96706 -0.07001 0.07001 -0.07001
-0.96455 -0.07044 0.07044 -0.07044
-0.96205 -0.07087 0.07087 -0.07087
-0.95955 -0.07130 0.07130 -0.07130
-0.95705 -0.07174 0.07174 -0.07174
-0.95455 -0.07219 0.07219 -0.07219
-0.95204 -0.07264 0.07264 -0.07264
-0.94954 -0.07309 0.07309 -0.07309
-0.94704 -0.07355 0.07355 -0.07355
-0.94454 -0.07401 0.07401 -0.07401
-0.94204 -0.07448 0.07448 -0.07448
-0.93953 -0.07495 0.07495 -0.07495
-0.93703 -0.07542 0.07542 -0.07542
-0.93453 -0.07590 0.07590 -0.07590
-0.93203 -0.07639 0.07639 -0.07639
-0.92952 -0.07688 0.07688 -0.07688
-0.92702 -0.07738 0.07738 -0.07738
-0.92452 -0.07788 0.07788 -0.07788
-0.92202 -0.07838 0.07838 -0.07838
-0.91952 -0.07890 0.07890 -0.07890
-0.91701 -0.07941 0.07941 -0.07941
-0.91451 -0.07993 0.07993 -0.07993
-0.91201 -0.08046 0.08046 -0.08046
-0.90951 -0.08100 0.08100 -0.08100
-0.90701 -0.08154 0.08154 -0.08154
-0.90450 -0.08208 0.08208 -0.08208
-0.90200 -0.08263 0.08263 -0.08263
-0.89950 -0.08319 0.08319 -0.08319
-0.89700 -0.08375 0.08375 -0.08375
-0.89450 -0.08432 0.08432 -0.08432
-0.89199 -0.08490 0.08490 -0.08490
-0.88949 -0.08548 0.08548 -0.08548
-0.88699 -0.08607 0.08607 -0.08607
-0.88449 -0.08666 0.08666 -0.08666
-0.88198 -0.08726 0.08726 -0.08726
-0.87948 -0.08787 0.08787 -0.08787
-0.87698 -0.08848 0.08848 -0.08848
-0.87448 -0.08911 0.08911 -0.08911
-0.87198 -0.08974 0.08974 -0.08974
-0.86947 -0.09037 0.09037 -0.09037
-0.86697 -0.09102 0.09102 -0.09102
-0.86447 -0.09167 0.09167 -0.09167
-0.86197 -0.09233 0.09233 -0.09233
-0.85947 -0.09299 0.09299 -0.09299
-0.85696 -0.09367 0.09367 -0.09367
-0.85446 -0.09435 0.09435 -0.09435
-0.85196 -0.09504 0.09504 -0.09504
-0.84946 -0.09574 0.09574 -0.09574
-0.84696 -0.09645 0.09645 -0.09645
-0.84445 -0.09716 0.09716 -0.09716
-0.84195 -0.09789 0.09789 -0.09789
-0.83945 -0.09862 0.09862 -0.09862
-0.83695 -0.09936 0.09936 -0.09936
-0.83445 -0.10011 0.10011 -0.10011
-0.83194 -0.10087 0.10087 -0.10087
-0.82944 -0.10164 0.10164 -0.10164
-0.82694 -0.10242 0.10242 -0.10242
-0.82444 -0.10321 0.10321 -0.10321
-0.82193 -0.10401 0.10401 -0.10401
-0.81943 -0.10482 0.10482 -0.10482
-0.81693 -0.10564 0.10564 -0.10564
-0.81443 -0.10648 0.10648 -0.10648
-0.81193 -0.10732 0.10732 -0.10732
-0.80942 -0.10817 0.10817 -0.10817
-0.80692 -0.10903 0.10903 -0.10903
-0.80442 -0.10991 0.10991 -0.10991
-0.80192 -0.11080 0.11080 -0.11080
-0.79942 -0.11170 0.11170 -0.11170
-0.79691 -0.11261 0.11261 -0.11261
-0.79441 -0.11353 0.11353 -0.11353
-0.79191 -0.11447 0.11447 -0.11447
-0.78941 -0.11542 0.11542 -0.11542
-0.78691 -0.11638 0.11638 -0.11638
-0.78440 -0.11736 0.11736 -0.11736
-0.78190 -0.11835 0.11835 -0.11835
-0.77940 -0.11935 0.11935 -0.11935
-0.77690 -0.12037 0.12037 -0.12037
-0.77440 -0.12140 0.12140 -0.12140
-0.77189 -0.12245 0.12245 -0.12245
-0.76939 -0.12351 0.12351 -0.12351
-0.76689 -0.12459 0.12459 -0.12459
-0.76439 -0.12568 0.12568 -0.12568
-0.76188 -0.12679 0.12679 -0.12679
-0.75938 -0.12792 0.12792 -0.12792
-0.75688 -0.12906 0.12906 -0.12906
-0.75438 -0.13022 0.13022 -0.13022
-0.75188 -0.13140 0.13140 -0.13140
-0.74937 -0.13260 0.13260 -0.13260
-0.74687 -0.13381 0.13381 -0.13381
-0.74437 -0.13505 0.13505 -0.13505
-0.74187 -0.13630 0.13630 -0.13630
-0.73937 -0.13758 0.13758 -0.13758
-0.73686 -0.13887 0.13887 -0.13887
-0.73436 -0.14019 0.14019 -0.14019
-0.73186 -0.14152 0.14152 -0.14152
-0.72936 -0.14288 0.14288 -0.14288
-0.72686 -0.14426 0.14426 -0.14426
