t re im envp envn
-4.00000 0.00025 0.00000 0.00025 -0.00025
-3.95980 0.00029 0.00007 0.00030 -0.00030
-3.91960 0.00030 0.00017 0.00035 -0.00035
-3.87940 0.00029 0.00028 0.00041 -0.00041
-3.83920 0.00025 0.00040 0.00047 -0.00047
-3.79899 0.00017 0.00053 0.00055 -0.00055
-3.75879 0.00004 0.00064 0.00064 -0.00064
-3.71859 -0.00015 0.00073 0.00075 -0.00075
-3.67839 -0.00038 0.00078 0.00087 -0.00087
-3.63819 -0.00065 0.00077 0.00100 -0.00100
-3.59799 -0.00095 0.00067 0.00116 -0.00116
-3.55779 -0.00125 0.00048 0.00134 -0.00134
-3.51759 -0.00154 0.00017 0.00154 -0.00154
-3.47739 -0.00176 -0.00025 0.00178 -0.00178
-3.43719 -0.00189 -0.00079 0.00204 -0.00204
-3.39698 -0.00187 -0.00141 0.00234 -0.00234
-3.35678 -0.00167 -0.00210 0.00268 -0.00268
-3.31658 -0.00125 -0.00281 0.00307 -0.00307
-3.27638 -0.00058 -0.00346 0.00351 -0.00351
-3.23618 0.00035 -0.00398 0.00400 -0.00400
-3.19598 0.00151 -0.00429 0.00455 -0.00455
-3.15578 0.00288 -0.00429 0.00517 -0.00517
-3.11558 0.00438 -0.00389 0.00586 -0.00586
-3.07538 0.00591 -0.00303 0.00664 -0.00664
-3.03518 0.00732 -0.00165 0.00750 -0.00750
-2.99497 0.00847 0.00027 0.00847 -0.00847
-2.95477 0.00916 0.00268 0.00955 -0.00955
-2.91457 0.00923 0.00549 0.01074 -0.01074
-2.87437 0.00850 0.00857 0.01207 -0.01207
-2.83417 0.00683 0.01169 0.01354 -0.01354
-2.79397 0.00413 0.01458 0.01516 -0.01516
-2.75377 0.00040 0.01694 0.01694 -0.01694
-2.71357 -0.00429 0.01842 0.01891 -0.01891
-2.67337 -0.00976 0.01868 0.02108 -0.02108
-2.63317 -0.01571 0.01741 0.02345 -0.02345
-2.59296 -0.02173 0.01436 0.02605 -0.02605
-2.55276 -0.02731 0.00940 0.02888 -0.02888
-2.51256 -0.03188 0.00252 0.03198 -0.03198
-2.47236 -0.03482 -0.00611 0.03535 -0.03535
-2.43216 -0.03552 -0.01613 0.03901 -0.03901
-2.39196 -0.03345 -0.02699 0.04298 -0.04298
-2.35176 -0.02821 -0.03794 0.04728 -0.04728
-2.31156 -0.01959 -0.04810 0.05193 -0.05193
-2.27136 -0.00762 -0.05643 0.05694 -0.05694
-2.23116 0.00736 -0.06190 0.06234 -0.06234
-2.19095 0.02470 -0.06350 0.06813 -0.06813
-2.15075 0.04341 -0.06035 0.07434 -0.07434
-2.11055 0.06223 -0.05184 0.08099 -0.08099
-2.07035 0.07963 -0.03768 0.08809 -0.08809
-2.03015 0.09395 -0.01801 0.09566 -0.09566
-1.98995 0.10351 0.00654 0.10371 -0.10371
-1.94975 0.10671 0.03486 0.11226 -0.11226
-1.90955 0.10224 0.06529 0.12131 -0.12131
-1.86935 0.08921 0.09578 0.13089 -0.13089
-1.82915 0.06726 0.12391 0.14099 -0.14099
-1.78894 0.03673 0.14711 0.15163 -0.15163
-1.74874 -0.00129 0.16279 0.16280 -0.16280
-1.70854 -0.04495 0.16863 0.17452 -0.17452
-1.66834 -0.09168 0.16272 0.18677 -0.18677
-1.62814 -0.13830 0.14387 0.19957 -0.19957
-1.58794 -0.18121 0.11174 0.21289 -0.21289
-1.54774 -0.21662 0.06700 0.22674 -0.22674
-1.50754 -0.24084 0.01141 0.24111 -0.24111
-1.46734 -0.25059 -0.05216 0.25596 -0.25596
-1.42714 -0.24336 -0.11991 0.27130 -0.27130
-1.38693 -0.21764 -0.18722 0.28709 -0.28709
-1.34673 -0.17320 -0.24898 0.30330 -0.30330
-1.30653 -0.11126 -0.29995 0.31992 -0.31992
-1.26633 -0.03451 -0.33512 0.33690 -0.33690
-1.22613 0.05292 -0.35023 0.35420 -0.35420
-1.18593 0.14566 -0.34208 0.37180 -0.37180
-1.14573 0.23740 -0.30897 0.38964 -0.38964
-1.10553 0.32130 -0.25094 0.40768 -0.40768
-1.06533 0.39049 -0.16993 0.42586 -0.42586
-1.02513 0.43861 -0.06982 0.44414 -0.44414
-0.98492 0.46038 0.04374 0.46245 -0.46245
-0.94472 0.45203 0.16363 0.48074 -0.48074
-0.90452 0.41182 0.28168 0.49894 -0.49894
-0.86432 0.34024 0.38926 0.51700 -0.51700
-0.82412 0.24018 0.47789 0.53485 -0.53485
-0.78392 0.11684 0.53992 0.55242 -0.55242
-0.74372 -0.02248 0.56920 0.56965 -0.56965
-0.70352 -0.16886 0.56163 0.58646 -0.58646
-0.66332 -0.31232 0.51558 0.60280 -0.60280
-0.62312 -0.44255 0.43220 0.61859 -0.61859
-0.58291 -0.54969 0.31544 0.63376 -0.63376
-0.54271 -0.62506 0.17190 0.64827 -0.64827
-0.50251 -0.66195 0.01045 0.66203 -0.66203
-0.46231 -0.65616 -0.15835 0.67500 -0.67500
-0.42211 -0.60645 -0.32300 0.68710 -0.68710
-0.38191 -0.51474 -0.47188 0.69830 -0.69830
-0.34171 -0.38605 -0.59412 0.70853 -0.70853
-0.30151 -0.22825 -0.68049 0.71775 -0.71775
-0.26131 -0.05153 -0.72408 0.72591 -0.72591
-0.22111 0.13234 -0.72094 0.73299 -0.73299
-0.18090 0.31082 -0.67039 0.73893 -0.73893
-0.14070 0.47153 -0.57514 0.74373 -0.74373
-0.10050 0.60322 -0.44118 0.74734 -0.74734
-0.06030 0.69659 -0.27733 0.74976 -0.74976
-0.02010 0.74499 -0.09459 0.75097 -0.75097
0.02010 0.74499 0.09459 0.75097 -0.75097
0.06030 0.69659 0.27733 0.74976 -0.74976
0.10050 0.60322 0.44118 0.74734 -0.74734
0.14070 0.47153 0.57514 0.74373 -0.74373
0.18090 0.31082 0.67039 0.73893 -0.73893
0.22111 0.13234 0.72094 0.73299 -0.73299
0.26131 -0.05153 0.72408 0.72591 -0.72591
0.30151 -0.22825 0.68049 0.71775 -0.71775
0.34171 -0.38605 0.59412 0.70853 -0.70853
0.38191 -0.51474 0.47188 0.69830 -0.69830
0.42211 -0.60645 0.32300 0.68710 -0.68710
0.46231 -0.65616 0.15835 0.67500 -0.67500
0.50251 -0.66195 -0.01045 0.66203 -0.66203
0.54271 -0.62506 -0.17190 0.64827 -0.64827
0.58291 -0.54969 -0.31544 0.63376 -0.63376
0.62312 -0.44255 -0.43220 0.61859 -0.61859
0.66332 -0.31232 -0.51558 0.60280 -0.60280
0.70352 -0.16886 -0.56163 0.58646 -0.58646
0.74372 -0.02248 -0.56920 0.56965 -0.56965
0.78392 0.11684 -0.53992 0.55242 -0.55242
0.82412 0.24018 -0.47789 0.53485 -0.53485
0.86432 0.34024 -0.38926 0.51700 -0.51700
0.90452 0.41182 -0.28168 0.49894 -0.49894
0.94472 0.45203 -0.16363 0.48074 -0.48074
0.98492 0.46038 -0.04374 0.46245 -0.46245
1.02513 0.43861 0.06982 0.44414 -0.44414
1.06533 0.39049 0.16993 0.42586 -0.42586
1.10553 0.32130 0.25094 0.40768 -0.40768
1.14573 0.23740 0.30897 0.38964 -0.38964
1.18593 0.14566 0.34208 0.37180 -0.37180
1.22613 0.05292 0.35023 0.35420 -0.35420
1.26633 -0.03451 0.33512 0.33690 -0.33690
1.30653 -0.11126 0.29995 0.31992 -0.31992
1.34673 -0.17320 0.24898 0.30330 -0.30330
1.38693 -0.21764 0.18722 0.28709 -0.28709
1.42714 -0.24336 0.11991 0.27130 -0.27130
1.46734 -0.25059 0.05216 0.25596 -0.25596
1.50754 -0.24084 -0.01141 0.24111 -0.24111
1.54774 -0.21662 -0.06700 0.22674 -0.22674
1.58794 -0.18121 -0.11174 0.21289 -0.21289
1.62814 -0.13830 -0.14387 0.19957 -0.19957
1.66834 -0.09168 -0.16272 0.18677 -0.18677
1.70854 -0.04495 -0.16863 0.17452 -0.17452
1.74874 -0.00129 -0.16279 0.16280 -0.16280
1.78894 0.03673 -0.14711 0.15163 -0.15163
1.82915 0.06726 -0.12391 0.14099 -0.14099
1.86935 0.08921 -0.09578 0.13089 -0.13089
1.90955 0.10224 -0.06529 0.12131 -0.12131
1.94975 0.10671 -0.03486 0.11226 -0.11226
1.98995 0.10351 -0.00654 0.10371 -0.10371
2.03015 0.09395 0.01801 0.09566 -0.09566
2.07035 0.07963 0.03768 0.08809 -0.08809
2.11055 0.06223 0.05184 0.08099 -0.08099
2.15075 0.04341 0.06035 0.07434 -0.07434
2.19095 0.02470 0.06350 0.06813 -0.06813
2.23116 0.00736 0.06190 0.06234 -0.06234
2.27136 -0.00762 0.05643 0.05694 -0.05694
2.31156 -0.01959 0.04810 0.05193 -0.05193
2.35176 -0.02821 0.03794 0.04728 -0.04728
2.39196 -0.03345 0.02699 0.04298 -0.04298
2.43216 -0.03552 0.01613 0.03901 -0.03901
2.47236 -0.03482 0.00611 0.03535 -0.03535
2.51256 -0.03188 -0.00252 0.03198 -0.03198
2.55276 -0.02731 -0.00940 0.02888 -0.02888
2.59296 -0.02173 -0.01436 0.02605 -0.02605
2.63317 -0.01571 -0.01741 0.02345 -0.02345
2.67337 -0.00976 -0.01868 0.02108 -0.02108
2.71357 -0.00429 -0.01842 0.01891 -0.01891
2.75377 0.00040 -0.01694 0.01694 -0.01694
2.79397 0.00413 -0.01458 0.01516 -0.01516
2.83417 0.00683 -0.01169 0.01354 -0.01354
2.87437 0.00850 -0.00857 0.01207 -0.01207
2.91457 0.00923 -0.00549 0.01074 -0.01074
2.95477 0.00916 -0.00268 0.00955 -0.00955
2.99497 0.00847 -0.00027 0.00847 -0.00847
3.03518 0.00732 0.00165 0.00750 -0.00750
3.07538 0.00591 0.00303 0.00664 -0.00664
3.11558 0.00438 0.00389 0.00586 -0.00586
3.15578 0.00288 0.00429 0.00517 -0.00517
3.19598 0.00151 0.00429 0.00455 -0.00455
3.23618 0.00035 0.00398 0.00400 -0.00400
3.27638 -0.00058 0.00346 0.00351 -0.00351
3.31658 -0.00125 0.00281 0.00307 -0.00307
3.35678 -0.00167 0.00210 0.00268 -0.00268
3.39698 -0.00187 0.00141 0.00234 -0.00234
3.43719 -0.00189 0.00079 0.00204 -0.00204
3.47739 -0.00176 0.00025 0.00178 -0.00178
3.51759 -0.00154 -0.00017 0.00154 -0.00154
3.55779 -0.00125 -0.00048 0.00134 -0.00134
3.59799 -0.00095 -0.00067 0.00116 -0.00116
3.63819 -0.00065 -0.00077 0.00100 -0.00100
3.67839 -0.00038 -0.00078 0.00087 -0.00087
3.71859 -0.00015 -0.00073 0.00075 -0.00075
3.75879 0.00004 -0.00064 0.00064 -0.00064
3.79899 0.00017 -0.00053 0.00055 -0.00055
3.83920 0.00025 -0.00040 0.00047 -0.00047
3.87940 0.00029 -0.00028 0.00041 -0.00041
3.91960 0.00030 -0.00017 0.00035 -0.00035
3.95980 0.00029 -0.00007 0.00030 -0.00030
4.00000 0.00025 -0.00000 0.00025 -0.00025
